   111 -0.106600 0.046400 -0.060400 -0.012524 0.005666 -0.999906 -0.195021 -0.980794 -0.003187 -0.980719 0.194963 0.013389 1.000617
   112 -0.106600 0.046400 -0.060400 -0.195021 -0.980794 -0.003187 0.012524 -0.005666 0.999906 -0.980719 0.194963 0.013389 -0.009984
   113 -0.106600 0.046400 -0.060400 -0.012524 0.005666 -0.999906 -0.195021 -0.980794 -0.003187 -0.980719 0.194963 0.013389 -0.000005
   121 -0.102000 0.063100 -0.025600 0.008385 0.002561 -0.999962 -0.257476 -0.966274 -0.004643 -0.966249 0.257504 -0.007443 0.997478
   122 -0.102000 0.063100 -0.025600 0.008385 0.002561 -0.999962 -0.257476 -0.966274 -0.004643 -0.966249 0.257504 -0.007443 -0.005852
   123 -0.102000 0.063100 -0.025600 -0.257476 -0.966274 -0.004643 -0.008385 -0.002561 0.999962 -0.966249 0.257504 -0.007443 -0.001620
   131 -0.108500 0.030200 -0.026600 0.003506 0.002214 -0.999991 -0.094389 -0.995532 -0.002498 -0.995529 0.094397 -0.003281 1.003888
   132 -0.108500 0.030200 -0.026600 0.003506 0.002214 -0.999991 -0.094389 -0.995532 -0.002498 -0.995529 0.094397 -0.003281 -0.007633
   133 -0.108500 0.030200 -0.026600 -0.094389 -0.995532 -0.002498 -0.003506 -0.002214 0.999991 -0.995529 0.094397 -0.003281 0.003065
   141 -0.109900 0.013100 -0.062700 -0.036425 0.002524 -0.999333 -0.038836 -0.999245 -0.001169 -0.998582 0.038768 0.036496 1.004801
   142 -0.109900 0.013100 -0.062700 -0.038836 -0.999245 -0.001169 0.036425 -0.002524 0.999333 -0.998582 0.038768 0.036496 -0.006808
   143 -0.109900 0.013100 -0.062700 -0.036425 0.002524 -0.999333 -0.038836 -0.999245 -0.001169 -0.998582 0.038768 0.036496 0.000841
   211 -0.107400 0.032900 0.008000 -0.052286 0.007811 -0.998602 -0.101193 -0.994864 -0.002517 -0.993492 0.100920 0.052808 1.001283
   212 -0.107400 0.032900 0.008000 -0.101193 -0.994864 -0.002517 0.052286 -0.007811 0.998602 -0.993492 0.100920 0.052808 -0.004221
   213 -0.107400 0.032900 0.008000 -0.052286 0.007811 -0.998602 -0.101193 -0.994864 -0.002517 -0.993492 0.100920 0.052808 0.000374
   221 -0.098900 0.040300 0.041300 -0.341430 0.059512 -0.938021 -0.161956 -0.986791 -0.003643 -0.925848 0.150673 0.346558 1.002824
   222 -0.098900 0.040300 0.041300 -0.341430 0.059512 -0.938021 -0.161956 -0.986791 -0.003643 -0.925848 0.150673 0.346558 -0.014666
   223 -0.098900 0.040300 0.041300 -0.161956 -0.986791 -0.003643 0.341430 -0.059512 0.938021 -0.925848 0.150673 0.346558 -0.000186
   231 -0.101100 0.004400 0.040800 -0.354880 0.008567 -0.934872 0.039897 -0.998909 -0.024291 -0.934060 -0.045919 0.354151 1.003576
